ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
DG000000,35759189,3370892,1810421,18058988,10669894,440797,74449,80130,39259,394291,820067,383768
01000000,1580430,145903,69767,1080065,162582,6173,2180,8739,4350,23882,76790,11126
01001000,5673,2249,786,1267,373,8,114,4,5,50,818,293
01002000,11865,5293,1652,2851,652,152,2,35,41,97,1089,496
01003000,21419,6146,1996,6492,3158,157,35,2,175,343,2915,949
01004000,7166,2986,724,2708,311,22,2,192,12,23,185,339
01051000,142817,10452,5731,107517,5203,257,88,387,279,6022,6880,1018
01051001,1712,241,98,1072,252,0,0,0,0,30,18,9
01051002,692,28,36,445,172,3,0,0,0,4,3,-
01051003,906,47,17,670,39,0,0,0,40,19,74,1
01051004,1190,87,46,959,61,1,0,9,0,16,11,14
01051005,511,22,13,416,4,0,0,0,0,46,11,0
01051006,2288,89,60,1739,91,0,0,0,0,236,74,1
01051008,264,7,5,215,3,0,0,0,0,5,29,-
01051010,607,26,41,461,58,5,0,0,2,6,10,2
01051011,6521,1070,371,2959,7,37,0,0,0,158,1919,422
01051012,1456,89,54,1121,91,0,0,0,0,41,60,0
01051013,848,263,82,415,1,2,0,0,0,26,59,24
01051014,287,24,14,242,2,0,0,0,0,0,6,-
01051015,1175,111,44,781,196,1,0,0,0,12,31,0
01051016,1125,196,66,584,59,0,0,0,0,123,96,8
01051017,1009,34,29,644,0,0,0,0,0,251,52,2
01051019,2177,74,55,1676,19,0,0,169,0,110,74,0
01051020,1584,60,49,1190,4,0,0,0,0,147,133,1
01051021,746,49,28,653,1,0,0,0,0,0,15,0
01051022,701,56,24,568,38,0,0,0,0,4,11,1
01051023,782,53,29,543,10,0,0,0,0,136,11,1
01051024,921,99,34,763,6,1,0,0,0,5,13,5
01051026,1279,66,45,1094,30,1,1,0,0,20,21,1
01051027,3017,95,79,1773,42,0,10,0,0,783,235,2
01051028,1352,59,51,1195,2,0,0,0,0,15,29,1
01051030,969,31,31,823,15,8,1,24,0,18,17,2
01051032,1033,41,33,833,102,0,0,0,0,13,11,1
01051033,862,47,23,742,1,0,0,0,0,10,38,-
01051034,5327,292,160,3954,2,0,0,0,0,811,107,12
01051035,645,41,21,475,54,1,0,1,0,46,6,1
01051036,469,31,19,374,21,0,0,0,4,11,8,9
01051037,1040,46,41,769,150,15,0,0,0,8,11,-
01051038,790,27,20,699,0,0,0,0,0,2,42,1
01051039,604,51,25,413,108,1,0,0,0,1,5,8
01051043,1636,38,44,1403,1,14,0,0,0,96,39,0
01051044,3197,843,272,1697,176,20,0,66,0,29,94,50
01051045,702,26,19,634,0,0,0,0,0,3,19,-
01051046,1144,79,47,980,11,0,0,0,0,3,24,2
01051047,1653,74,81,1447,1,0,0,17,0,1,31,0
01051048,1601,248,99,1171,4,0,0,0,4,53,21,83
01051049,2193,257,78,1601,42,0,0,1,2,92,120,14
