ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
DG000000,19375911,12939452,3166047,3247507,22905,3841438
01000000,837734,659997,82375,94628,734,138789.3
01001000,17453,11548,972,4886,47,3993
01002000,37435,22911,2268,12136,120,9614.1
01003000,44147,29189,4103,10815,40,8778.1
01004000,19331,14349,1455,3504,23,3391.1
01051000,51327,43814,4406,3071,36,7185.9
01051001,1277,1060,134,81,2,177.6
01051002,72,54,12,6,0,12.1
01051003,259,234,20,5,0,33
01051004,366,328,34,4,0,50
01051005,74,65,5,4,0,10.5
01051006,326,291,26,9,0,43
01051008,20,17,3,0,0,2.1
01051010,82,73,7,2,0,10.5
01051011,4151,3442,247,459,3,656.6
01051012,382,336,35,11,0,52.6
01051013,2189,1686,202,299,2,366.3
01051014,217,181,24,12,0,27.9
01051015,293,254,24,15,0,43.2
01051016,1609,1333,158,117,1,224.4
01051017,128,116,9,3,0,16.8
01051019,270,218,38,14,0,40.4
01051020,316,278,29,9,0,44.7
01051021,297,279,11,7,0,37.9
01051022,276,262,13,1,0,35.3
01051023,250,217,28,5,0,36.7
01051024,555,501,38,16,0,73.9
01051026,313,280,27,6,0,44.9
01051027,361,322,30,9,0,46.5
01051028,291,253,30,8,0,40
01051030,103,94,8,1,0,15.5
01051032,162,149,11,1,1,21
01051033,27,25,1,1,0,4.3
01051034,1624,1492,99,31,2,167.2
01051035,69,60,9,0,0,9.1
01051036,39,29,10,0,0,6.6
01051037,191,168,18,5,0,26
01051038,40,34,3,3,0,6.4
01051039,163,144,17,2,0,21.3
01051043,108,99,6,3,0,14.5
01051044,6535,5026,631,864,14,1006.5
01051045,75,69,3,3,0,10
01051046,363,337,22,4,0,44.7
01051047,210,181,20,9,0,30.1
01051048,1191,1049,101,40,1,146.8
01051049,860,768,55,36,1,112.4
01051050,39,36,3,0,0,5.5
01051051,472,432,35,5,0,61.8
01051052,20,17,2,1,0,3
01051053,127,106,17,4,0,18.1
01051054,36,30,6,0,0,5.5
01051057,161,148,12,1,0,19.9
01051058,57,55,0,2,0,9.2
01051060,189,176,12,1,0,25.4
01051061,250,221,24,5,0,32.1
01051062,367,337,23,7,0,48.3
01051063,209,183,24,2,0,28.1
01051064,264,243,13,8,0,33.8
01051065,482,436,35,11,0,63.3
01051067,129,112,9,8,0,16.9
01051068,327,281,38,8,0,46.6
01051069,811,682,79,50,0,116.1
01051071,579,474,58,46,1,80.9
01051072,2100,1801,179,118,2,290.9
01051073,150,139,6,5,0,19.6
01051074,2788,2390,212,184,2,364.5
01051075,402,357,33,12,0,52.4
01051076,293,275,12,6,0,37.6
01051077,43,39,4,0,0,5.6
01051078,473,432,33,8,0,66
01051079,193,179,12,2,0,25.9
01051080,50,42,4,4,0,7.5
01051081,107,98,8,1,0,15.6
01051082,1093,962,100,31,0,149.3
01051083,143,128,11,4,0,20.4
01051084,106,94,8,4,0,15.3
01051085,107,84,14,9,0,15.1
01051086,163,137,20,6,0,23.6
01051087,382,342,30,10,0,52.5
01051088,444,366,64,13,1,63.4
01051089,81,76,5,0,0,10.1
01051090,65,61,4,0,0,8.7
01051092,213,188,19,6,0,29.6
01051093,168,153,13,2,0,22.4
01051096,128,113,14,1,0,17.9
01051097,1356,1211,85,60,0,181
