ags,demand_2018,PV_average_flh,PV_roof_2017,PV_land_2017,PV_others,bioenergy_potential
08000000,0.455,870,0.917,0.083,0.000,152580
09000000,0.400,927,0.698,0.302,0.000,315431
11000000,0.000,797,0.978,0.020,0.002,0
12000000,0.278,922,0.341,0.659,0.000,106363
04000000,0.625,850,0.985,0.015,0.000,0
02000000,0.769,556,0.985,0.015,0.000,0
06000000,0.313,828,0.853,0.146,0.001,90204
13000000,0.333,853,0.452,0.548,0.000,111586
03000000,0.417,815,0.864,0.135,0.001,178598
05000000,0.417,806,0.954,0.046,0.000,119204
07000000,0.417,913,0.773,0.226,0.001,70692
10000000,0.556,913,0.641,0.359,0.000,8463
14000000,0.476,915,0.685,0.386,-0.071,78775
15000000,0.256,929,0.491,0.509,0.000,77471
01000000,0.435,821,0.650,0.349,0.001,57419
16000000,0.270,890,0.630,0.369,0.001,69435
DG000000,0.370,963,0.720,0.280,0.000,1436220
