ags,total
DG000000,83237124
01000000,2922005
01001000,91113
01002000,246243
01003000,216277
01004000,79496
01051000,133969
01051001,3772
01051002,220
01051003,558
01051004,965
01051005,164
01051006,777
01051008,37
01051010,198
01051011,12381
01051012,988
01051013,4876
01051014,357
01051015,771
01051016,4184
01051017,316
01051019,703
01051020,756
01051021,697
01051022,632
01051023,646
01051024,1345
01051026,758
01051027,854
01051028,766
01051030,270
01051032,345
01051033,56
01051034,2494
01051035,173
01051036,108
01051037,468
01051038,89
01051039,416
01051043,231
01051044,21844
01051045,168
01051046,826
01051047,487
01051048,2867
01051049,2023
01051050,59
01051051,1078
01051052,60
01051053,305
01051054,104
01051057,361
01051058,135
01051060,401
01051061,609
01051062,854
01051063,486
01051064,605
01051065,1082
01051067,371
01051068,877
01051069,2061
01051071,1704
01051072,6061
01051073,401
01051074,7289
01051075,982
01051076,614
01051077,117
01051078,1131
01051079,421
01051080,144
01051081,261
01051082,2838
01051083,311
01051084,331
01051085,252
01051086,434
01051087,908
01051088,1153
01051089,174
01051090,158
01051092,533
01051093,412
01051096,317
01051097,3498
01051098,702
01051099,1299
01051100,589
01051102,237
01051103,176
01051104,70
01051105,383
01051107,442
01051108,93
01051109,457
01051110,758
01051113,1263
01051114,2675
01051117,170
01051118,241
01051119,345
01051120,33
01051121,242
01051122,2316
01051125,400
01051126,91
01051127,3465
01051128,109
01051129,183
01051130,1411
01051131,110
01051132,860
01051133,156
01051134,785
01051135,321
01051136,717
01051137,587
01051138,678
01051139,348
01051140,256
01051141,523
01053000,200819
01053001,74
01053002,824
01053003,3237
01053004,891
01053005,218
01053006,642
01053007,414
01053008,404
01053009,2132
01053010,96
01053011,655
01053012,4783
01053013,316
01053014,2072
01053015,333
01053016,149
01053017,741
01053018,236
01053019,148
01053020,6473
01053021,154
01053022,345
01053023,3418
01053024,160
01053025,550
01053026,424
01053027,861
01053028,3498
01053029,376
01053030,45
01053031,393
01053032,31539
01053033,157
01053034,229
01053035,58
01053036,347
01053037,502
01053038,332
01053039,202
01053040,83
01053041,3824
01053042,152
01053043,1027
01053044,565
01053045,258
01053046,1668
01053047,1322
01053048,1321
01053049,483
01053050,857
01053051,312
01053052,186
01053053,556
01053054,451
01053056,200
01053057,231
01053058,184
01053059,224
01053060,583
01053061,1157
01053062,279
01053064,678
01053066,238
01053067,604
01053068,592
01053069,792
01053070,287
01053071,599
01053072,1349
01053073,357
01053074,158
01053075,1664
01053076,1503
01053077,358
01053078,199
01053079,893
01053080,154
01053081,474
01053082,265
01053083,11644
01053084,570
01053085,1219
01053086,291
01053087,705
01053088,133
01053089,513
01053090,19329
01053091,174
01053092,1231
01053093,703
01053094,190
01053095,656
01053096,1161
01053097,648
01053098,474
01053099,351
01053100,14418
01053101,298
01053102,48
01053103,794
01053104,537
01053106,441
01053107,629
01053108,1859
01053109,698
01053110,554
01053111,904
01053112,1444
01053113,498
01053114,156
01053115,443
01053116,16940
01053117,525
01053118,599
01053119,259
01053120,441
01053121,331
01053122,571
01053123,920
01053124,371
01053125,518
01053126,339
01053127,207
01053128,205
01053129,13366
01053130,716
01053131,207
01053132,917
01053133,2531
01053134,338
01053135,175
01053136,1115
01054000,167560
01054001,1528
01054002,523
01054003,518
01054004,221
01054005,391
01054006,529
01054007,345
01054009,427
01054010,645
01054011,541
01054012,755
01054013,167
01054014,2001
01054015,328
01054016,238
01054017,670
01054018,218
01054019,5624
01054020,2295
01054022,891
01054023,655
01054024,1266
01054025,71
01054026,51
01054027,109
01054032,93
01054033,2593
01054034,166
01054035,330
01054036,2753
01054037,371
01054038,410
01054039,12
01054040,26
01054041,891
01054042,2609
01054043,273
01054045,452
01054046,895
01054048,93
01054050,95
01054052,820
01054054,178
01054055,756
01054056,23478
01054057,629
01054059,763
01054061,473
01054062,211
01054063,158
01054065,1030
01054068,1063
01054070,895
01054071,73
01054072,182
01054073,1410
01054074,132
01054075,3352
01054076,7831
01054077,52
01054078,1557
01054079,714
01054080,347
01054083,433
01054084,3975
01054085,976
01054086,1123
01054087,588
01054088,10139
01054089,584
01054090,43
01054091,2230
01054092,390
01054093,294
01054094,460
01054095,1281
01054096,740
01054097,457
01054098,519
01054099,1570
01054100,223
01054101,652
01054103,1228
01054104,226
01054105,416
01054106,1885
