ags,pv,wind,biomass,water
01000000,2120468.205,6990155.640,575456.100,4946.500
01001000,18576.986,39710.000,0,3.500
01002000,15873.599,75.000,563.000,120.000
01003000,20176.576,14650.000,11136.000,75.000
01004000,16884.044,0,510.000,0
01051000,314365.964,1852593.140,47552.000,0
01051001,6701.455,23850.000,0,0
01051002,807.568,0,2494.000,0
01051003,921.318,11.000,0,0
01051004,2523.065,0,0,0
01051005,275.570,0,0,0
01051006,7477.787,60936.000,0,0
01051008,602.185,0,0,0
01051010,14240.585,0,0,0
01051011,18081.394,191846.000,7467.000,0
01051012,1927.610,0,380.000,0
01051013,2442.582,0,400.000,0
01051014,1071.276,0,0,0
01051015,1420.890,6.000,780.000,0
01051016,1746.159,0,0,0
01051017,14271.869,500.000,0,0
01051019,1763.361,6.000,75.000,0
01051020,1274.495,0,0,0
01051021,2334.054,20500.000,0,0
01051022,1333.836,26960.000,800.000,0
01051023,6129.590,0,0,0
01051024,1515.202,0,590.000,0
01051026,1378.973,27520.000,0,0
01051027,9540.920,2621.740,0,0
01051028,7973.680,956.000,724.000,0
01051030,1253.200,29.800,0,0
01051032,1379.290,0,0,0
01051033,834.810,27300.000,0,0
01051034,8647.304,204325.000,0,0
01051035,147.310,0,0,0
01051036,1747.509,0,1272.000,0
01051037,871.945,1.000,0,0
01051038,2693.455,0,0,0
01051039,1422.485,0,0,0
01051043,441.905,53005.000,0,0
01051044,7574.578,669.500,0,0
01051045,1625.305,30640.000,0,0
01051046,2441.925,53770.000,0,0
01051047,1868.575,132081.000,0,0
01051048,3055.815,4020.000,0,0
01051049,2403.087,32625.000,10992.000,0
01051050,752.710,27600.000,0,0
01051051,1002.049,0,0,0
01051052,202.550,6.000,0,0
01051053,502.285,0,250.000,0
01051054,406.600,0,0,0
01051057,2436.918,46474.000,0,0
01051058,1783.470,11506.000,0,0
01051060,747.740,0,0,0
01051061,564.925,27.500,0,0
01051062,9082.267,107500.000,750.000,0
01051063,1479.275,0,75.000,0
01051064,1741.810,0,0,0
01051065,1562.350,900.000,190.000,0
01051067,385.050,12100.000,0,0
01051068,1725.440,0,1756.000,0
01051069,790.159,1510.000,0,0
01051071,314.540,0,0,0
01051072,4283.245,0,0,0
01051073,530.104,0,0,0
01051074,10731.370,10.000,250.000,0
01051075,15711.110,59356.000,515.000,0
01051076,3219.829,0,0,0
01051077,3098.310,2550.000,0,0
01051078,5778.362,14.000,0,0
01051079,1454.965,24206.000,395.000,0
01051080,266.575,16500.000,250.000,0
01051081,1696.388,110050.000,0,0
01051082,2262.529,7.000,2072.000,0
01051083,1042.931,0,0,0
01051084,600.305,2675.000,0,0
01051085,1660.690,0,0,0
01051086,1318.410,0,0,0
01051087,504.135,0,0,0
01051088,5827.780,0,0,0
01051089,230.860,0,0,0
01051090,1733.221,21455.000,75.000,0
01051092,604.795,22.500,0,0
01051093,1160.392,33520.000,0,0
01051096,742.835,0,902.000,0
01051097,8539.466,52047.500,504.000,0
01051098,787.125,0,0,0
01051099,2493.655,0,0,0
01051100,781.466,6.000,0,0
01051102,761.610,6.000,0,0
01051103,1310.080,9000.000,0,0
01051104,120.725,9.800,0,0
01051105,1626.807,20500.000,0,0
01051107,858.245,19800.000,0,0
01051108,378.665,32100.000,0,0
01051109,2183.135,21450.000,0,0
01051110,1003.790,13810.000,0,0
01051113,2908.660,113104.000,7321.000,0
01051114,3891.352,9900.000,0,0
01051117,567.990,0,0,0
01051118,794.415,2660.000,0,0
01051119,1941.834,515.800,0,0
01051120,187.117,0,0,0
01051121,122.142,0,0,0
01051122,11456.800,0,0,0
01051125,295.375,0,0,0
01051126,581.575,0,0,0
01051127,2421.850,6907.500,0,0
01051128,197.495,29000.000,0,0
01051129,898.865,33207.500,0,0
01051130,899.680,0,0,0
01051131,621.160,0,0,0
01051132,685.530,0,0,0
01051133,202.045,0,0,0
01051134,856.980,0,0,0
01051135,3182.700,6.000,0,0
01051136,1524.432,33825.000,1208.000,0
01051137,14647.842,0,0,0
01051138,2423.190,13200.000,2500.000,0
01051139,1886.419,25320.000,400.000,0
01051140,2057.728,44050.000,855.000,0
01051141,2164.818,0,1310.000,0
01053000,80459.612,96686.000,27853.000,2100.000
