ags,pv,wind_on,biomass,water
01000000,2978238.003,8538589.600,590078.500,4946.500
01001000,25567.737,69110.000,769.000,3.500
01002000,29182.720,75.000,543.000,120.000
01003000,33295.116,14650.000,10829.000,75.000
01004000,27277.074,9.660,510.000,0
01051000,381708.468,2249050.640,50570.000,0
01051001,7108.995,29350.000,0,0
01051002,861.963,0,2494.000,0
01051003,1017.648,11.000,0,0
01051004,2775.170,6.000,0,0
01051005,311.650,0,0,0
01051006,7617.377,72436.000,0,0
01051008,631.935,0,0,0
01051010,14324.880,0,0,0
01051011,20575.695,221166.000,7467.000,0
01051012,2146.900,0,380.000,0
01051013,3497.877,0,400.000,0
01051014,1108.866,0,0,0
01051015,1637.270,6.000,780.000,0
01051016,2353.729,0,0,0
01051017,14335.025,6000.000,0,0
01051019,2002.566,6.000,75.000,0
01051020,1404.895,0,0,0
01051021,2510.474,31900.000,0,0
01051022,1407.256,26960.000,800.000,0
01051023,6338.619,0,0,0
01051024,1799.902,0,590.000,0
01051026,1548.748,24350.000,0,0
01051027,10101.260,1021.740,0,0
01051028,9043.370,956.000,724.000,0
01051030,1288.150,29.800,0,0
01051032,27857.435,0,0,0
01051033,1119.010,31900.000,0,0
01051034,9321.221,227825.000,0,0
01051035,161.390,0,0,0
01051036,2040.429,0,1272.000,0
01051037,912.235,1.000,0,0
01051038,2693.455,4800.000,0,0
01051039,5135.765,12000.000,0,0
01051043,475.445,57605.000,0,0
01051044,9846.433,9.500,0,0
01051045,1635.265,45660.000,0,0
01051046,2705.215,61620.000,0,0
01051047,1900.525,155131.000,0,0
01051048,3624.775,4020.000,0,0
01051049,2725.332,29130.500,11963.000,0
01051050,796.890,27600.000,0,0
01051051,1084.249,0,0,0
01051052,214.580,6.000,0,0
01051053,530.125,6000.000,250.000,0
01051054,462.170,0,0,0
01051057,2504.068,50674.000,0,0
01051058,1784.270,32806.000,0,0
01051060,872.380,0,0,0
01051061,731.115,27.500,0,0
01051062,9427.742,107700.000,750.000,0
01051063,1639.965,15000.000,75.000,0
01051064,1863.010,0,0,0
01051065,5255.860,900.000,1367.000,0
01051067,417.080,12100.000,0,0
01051068,2001.720,0,1756.000,0
01051069,1173.579,6000.000,140.000,0
01051071,428.380,0,0,0
01051072,5465.320,0,0,0
01051073,667.279,6.000,0,0
01051074,11566.840,10.000,250.000,0
01051075,19880.750,101856.000,1145.000,0
01051076,3345.014,0,0,0
01051077,3072.120,2550.000,0,0
01051078,6059.402,14.000,0,0
01051079,1529.425,26106.000,395.000,0
01051080,296.215,16500.000,250.000,0
01051081,1872.938,114650.000,0,0
01051082,2938.299,7.000,2072.000,0
01051083,1086.876,0,0,0
01051084,661.465,2000.000,0,0
01051085,1769.910,0,0,0
01051086,1370.650,19575.000,0,0
01051087,621.805,0,0,0
01051088,6140.195,0,0,0
01051089,298.740,0,0,0
01051090,1783.001,23106.000,75.000,0
01051092,753.640,22.500,0,0
01051093,3879.822,28920.000,0,0
01051096,925.060,0,902.000,0
01051097,9088.586,52047.500,504.000,0
01051098,1122.410,0,0,0
01051099,2838.195,0,0,0
01051100,1000.776,6.000,0,0
01051102,829.550,6.000,0,0
01051103,1358.100,9000.000,0,0
01051104,128.725,9.800,0,0
01051105,1772.207,48700.000,0,0
01051107,902.595,24000.000,0,0
01051108,398.395,32100.000,0,0
01051109,2253.875,21450.000,0,0
01051110,1187.730,16980.000,0,0
01051113,3204.225,112248.000,7321.000,0
01051114,4461.153,14400.000,0,0
01051117,571.940,0,0,0
01051118,795.310,15960.000,0,0
01051119,2027.064,21965.800,0,0
01051120,212.557,0,0,0
01051121,143.542,0,0,0
01051122,12055.445,0,0,0
01051125,448.965,0,0,0
01051126,582.365,0,0,0
01051127,2669.020,6907.500,0,0
01051128,230.505,29000.000,0,0
01051129,904.545,28607.500,0,0
01051130,1205.865,0,0,0
01051131,654.650,0,0,0
01051132,879.450,0,0,0
01051133,226.625,0,0,0
01051134,1048.330,0,0,0
01051135,3245.670,6.000,0,0
01051136,2119.192,18450.000,1208.000,0
01051137,15201.942,43000.000,0,0
01051138,2524.055,25200.000,2500.000,0
01051139,1851.694,37320.000,500.000,0
01051140,2215.138,47650.000,855.000,0
01051141,2271.978,6000.000,1310.000,0
01053000,111933.826,105086.000,26265.500,2100.000
