ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,flight_kilometer_share_inland,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,flight_kilometer_share_overseas,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
DG000000,Deutschland,Deutschland,10289000000,50440000,109258182,1.971329269,8174722,108056,2183080.877,2.37638E+11,12625222000,1461841787,1,113353056,29893649.29,32076730.17
01000000,Schleswig-Holstein,Schleswig-Holstein,2455376.17,292.3066869,183130.8409,0.058461337,13701.89112,181.1158284,3659.125838,0,0,0,0,0,0,3659.125838
01001000,Flensburg,Flensburg,126520.6598,15.06198331,9436.368691,0.003012397,706.0312493,9.332539097,188.5474906,0,0,0,0,0,0,188.5474906
01002000,Kiel,Kiel,146939.7812,17.4928311,10959.30066,0.003498566,819.9773656,10.83871405,218.9770988,0,0,0,0,0,0,218.9770988
01003000,Lübeck,Lübeck,229302.4681,27.29791287,17102.20793,0.005459583,1279.591083,16.91403011,341.7181433,0,0,0,0,0,0,341.7181433
01004000,Neumünster,Neumünster,53579.32954,6.378491611,3996.140303,0.001275698,298.9921254,3.952170251,79.84662859,0,0,0,0,0,0,79.84662859
01051084,Oesterdeichstrich,Heide-Büsum,113074.826,13.4612888,8433.529743,0.002692258,630.9986114,8.340734517,168.5098285,0,0,0,0,0,0,168.5098285
01051097,Sankt Michaelisdonn,St. Michaelisdonn,366524.157,43.63382822,27336.6981,0.008726766,2045.337962,27.03590885,546.212849,0,0,0,0,0,0,546.212849
01053086,Lüchow,Lüchow-Rehbeck,38501.44968,4.583505914,2871.577456,0.000916701,214.8520776,2.839981115,57.37680892,0,0,0,0,0,0,57.37680892
01053117,Seedorf,Seedorf,3115.724251,0.370919554,232.3819906,7.41839E-05,17.38687333,0.229825061,4.64320997,0,0,0,0,0,0,4.64320997
