ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
DG000000,Deutschland (Destatis),Deutschland (Destatis),10289000000.0,50440000.0,109258182.0,8174721.999999995,108056.0,2183080.877395201,237638000000.0,12625222000.0,1461841787.0,113353056.0,29893649.2932096,32076730.17060479
01001000,Flensburg,Flensburg,126520.65977757191,15.0619833068538,9436.36869050384,706.0312493060973,9.332539097356417,188.54749056953668,0.0,0.0,0.0,0.0,0.0,188.54749056953668
01002000,Kiel,Kiel,146939.7812104518,17.49283109648236,10959.30066474083,819.9773656189105,10.83871405282247,218.9770987661153,0.0,0.0,0.0,0.0,0.0,218.9770987661153
01003000,Lübeck,Lübeck,229302.46811637335,27.297912870996832,17102.207928670407,1279.591082735354,16.914030108430776,341.7181432720245,0.0,0.0,0.0,0.0,0.0,341.7181432720245
01004000,Neumünster,Neumünster,53579.32953641238,6.378491611477664,3996.140302970624,298.99212536577465,3.952170250991305,79.84662859211248,0.0,0.0,0.0,0.0,0.0,79.84662859211248
01051084,Oesterdeichstrich,Heide-Büsum,113074.82595483084,13.461288804146529,8433.529742890929,630.9986114071056,8.340734517235719,168.50982849640354,0.0,0.0,0.0,0.0,0.0,168.50982849640354
01051097,Sankt Michaelisdonn,St. Michaelisdonn,366524.1570190785,43.63382821655696,27336.69809886066,2045.337962479683,27.035908850931524,546.2128490363167,0.0,0.0,0.0,0.0,0.0,546.2128490363167
01051000,Dithmarschen Kreis,Dithmarschen Kreis,479598.98297390935,57.09511702070349,35770.22784175159,2676.3365738867888,35.376643368167244,714.7226775327202,0.0,0.0,0.0,0.0,0.0,714.7226775327202
01053086,Lüchow,Lüchow-Rehbeck,38501.44967725583,4.583505913959027,2871.577455509524,214.85207762525036,2.839981114938716,57.376808915619776,0.0,0.0,0.0,0.0,0.0,57.376808915619776
01053117,Seedorf,Seedorf,3115.724251338622,0.3709195537307883,232.38199061926784,17.386873333835286,0.2298250613245203,4.643209970050155,0.0,0.0,0.0,0.0,0.0,4.643209970050155
01053000,Herzogtum Lauenburg Kreis,Herzogtum Lauenburg Kreis,41617.17392859445,4.954425467689815,3103.959446128792,232.23895095908563,3.0698061762632363,62.02001888566993,0.0,0.0,0.0,0.0,0.0,62.02001888566993
01054056,Husum,Husum-Schwesing,64280.35866154562,7.652423650184002,4794.261782657038,358.7077558040066,4.74150989613564,95.79384378686808,0.0,0.0,0.0,0.0,0.0,95.79384378686808
